Brand,Saleprice,MRP,Weight,ProductType,Rating,ProductDetails,Description
,,,,,,,
bb Royal,135,189,1 kg,,,"Foodgrains, Oil & Masala",Organic Jaggery Powder
,,,,,,,
bb Royal,158,238,2x1 kg,,4,"Foodgrains, Oil & Masala",Organic - Poha
,,,,,,,
bb Royal,225,499,50 g,veg,4,"Foodgrains, Oil & Masala",Organic - Cardamom/Elachi Green
,,,,,,,
bb Royal,91,130,200 g,veg,4,"Foodgrains, Oil & Masala",Organic Sunflower Seeds
,,,,,,,
bb Royal,249,329,5 kg,veg,,"Foodgrains, Oil & Masala",Organic - Whole Wheat Atta
,,,,,,,
bb Royal,120,198,2x500 g,,4.2,"Foodgrains, Oil & Masala",Organic - Methi
,,,,,,,
Organic Tattva,45,50,500 g,veg,4,"Foodgrains, Oil & Masala",Rock Salt - Natural
,,,,,,,
bb Royal,230,349,2 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Chana Dal/Channa Unpolished
,,,,,,,
bb Royal,690,838,2x5 kg,,4,"Foodgrains, Oil & Masala",Organic - Idly/Idli Rice
,,,,,,,
bb Royal,149,199,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Saunf
,,,,,,,
Fresho Organic,729,999,1 L,veg,4,"Foodgrains, Oil & Masala",Cow Desi Ghee (905 g)
,,,,,,,
bb Royal,239,279,2 kg,veg,4.1,"Foodgrains, Oil & Masala","Organic - Red Masoor Dal, Unpolished"
,,,,,,,
bb Royal,106,225,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Coriander Powder
,,,,,,,
bb Royal,33,55,100 g,veg,,"Foodgrains, Oil & Masala",Organic - Dry Red Chilli Whole
,,,,,,,
24 Mantra,135,135,500 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Peanut
,,,,,,,
Fresho,9,11.25,4 pcs,veg,,Fruits & Vegetables,Lemon - Organically Grown
,,,,,,,
bb Royal,38,101,200 g,veg,4.1,"Foodgrains, Oil & Masala",Organic - Quinoa
,,,,,,,
bb Royal,140,160,2x1 kg,,4,"Foodgrains, Oil & Masala",Organic - Ragi Flour
,,,,,,,
bb Royal,169,199,1 kg,veg,4.1,"Foodgrains, Oil & Masala","Organic - Urad Dal White (Split), Unpolished"
,,,,,,,
Organic Tattva,90,100,500 g,veg,4.4,"Foodgrains, Oil & Masala",Organic Besan
,,,,,,,
bb Royal,58,105,500 g,veg,4.2,"Foodgrains, Oil & Masala","Organic - Mustard/Rai, Small"
,,,,,,,
Organic Tattva,67.5,75,500 g,veg,4,"Foodgrains, Oil & Masala",Brown Sugar
,,,,,,,
bb Royal,61,88,1 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Sooji/Rawa
,,,,,,,
bb Royal,47,69,100 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Cumin/Jeera Powder
,,,,,,,
bb Royal,165,219,1 kg,veg,4,"Foodgrains, Oil & Masala",Organic - Green Moong Dal (Split)
,,,,,,,
bb Royal,23,33,50 g,veg,4.2,"Foodgrains, Oil & Masala",Organic Bay Leaf/Tej Patta
,,,,,,,
24 Mantra,72,80,450 g,veg,4.1,"Foodgrains, Oil & Masala",Organic Powder - Jaggery
,,,,,,,
Pro Nature,140,140,500 g,veg,4,"Foodgrains, Oil & Masala",Organic - Raw Peanut
,,,,,,,
Pro Nature,60,60,500 g,veg,4,"Foodgrains, Oil & Masala",Organic Daliya - Broken Wheat
,,,,,,,
Fresho,36,45,500 g,veg,,Fruits & Vegetables,Sapota - Organically Grown
,,,,,,,
bb Royal,31,43,500 g,veg,4,"Foodgrains, Oil & Masala",Organic - Maida
,,,,,,,
